timestamp,temperature_c,humidity_pct,precipitation_mm,rain_mm,surface_pressure_hpa,wind_speed_kmh,weather_code,latitude,longitude,data_source,dataset_type,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,temperature,humidity,pressure,wind_speed,pressure_change_3h,humidity_trend_3h,predicted_rainfall_6h_mm,rainfall_category
2022-01-02T00:00,24.8,81,0.0,0.0,1014.7,14.8,3,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.10000000000000034,0.5000000000000004,2.3000000000000003,8.6,24.8,81,1014.7,14.8,-1.1999999999999318,0.0,0.0,LOW
2022-01-02T01:00,24.8,80,0.0,0.0,1014.0,15.3,3,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.0,0.5000000000000004,2.1,8.4,24.8,80,1014.0,15.3,-1.7000000000000455,-3.0,0.1,LOW
2022-01-02T02:00,24.8,81,0.0,0.0,1013.2,16.0,1,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.0,0.5000000000000004,1.9000000000000001,8.1,24.8,81,1013.2,16.0,-2.199999999999932,-1.0,0.1,LOW
2022-01-02T03:00,24.7,82,0.0,0.0,1012.6,15.8,3,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.0,0.10000000000000045,1.6,8.1,24.7,82,1012.6,15.8,-2.1000000000000227,1.0,0.3,LOW
2022-01-02T04:00,24.6,84,0.0,0.0,1012.8,13.8,3,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.0,0.0,1.5,7.3999999999999995,24.6,84,1012.8,13.8,-1.2000000000000455,4.0,0.4,LOW
2022-01-02T05:00,23.9,86,0.0,0.0,1013.3,9.5,3,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.0,0.0,0.7000000000000001,7.0,23.9,86,1013.3,9.5,0.09999999999990905,5.0,0.5,LOW
2022-01-02T06:00,24.4,83,0.1,0.1,1013.7,11.3,51,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.0,0.0,0.5,6.5,24.4,83,1013.7,11.3,1.1000000000000227,1.0,0.7,LOW
2022-01-02T07:00,25.1,81,0.0,0.0,1014.7,13.0,3,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.1,0.10000000000000034,0.10000000000000045,0.6,4.3,25.1,81,1014.7,13.0,1.900000000000091,-3.0,0.7,LOW
2022-01-02T08:00,26.4,73,0.2,0.2,1015.2,14.8,51,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.0,0.10000000000000034,0.10000000000000045,0.6000000000000001,3.7,26.4,73,1015.2,14.8,1.900000000000091,-13.0,0.8,LOW
2022-01-02T09:00,27.1,70,0.1,0.1,1015.7,18.8,51,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.2,0.3000000000000004,0.3000000000000005,0.4,3.6,27.1,70,1015.7,18.8,2.0,-13.0,0.6,LOW
2022-01-02T10:00,27.6,69,0.1,0.1,1015.4,19.0,51,13.0827,80.2707,ECMWF_ERA5_Land_OpenMeteo,historical_real,0.1,0.3000000000000004,0.40000000000000047,0.4,3.6,27.6,69,1015.4,19.0,0.6999999999999318,-12.0,0.5,LOW
